RA,ANO,NOME,FASE,TURMA,GENERO,IDADE,ANO_INGRESSO,INSTITUICAO_ENSINO,ESCOLA,STATUS_ATIVO,PEDRA,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,FASE_IDEAL,DEFASAGEM,PONTO_VIRADA,INDICADO_BOLSA,NOTA_MAT,NOTA_PORT,NOTA_ING,CG,CF,CT,QTDE_AVAL,REC_PSICO,DESTAQUE_IEG,DESTAQUE_IDA,DESTAQUE_IPV,FASE_IDEAL_NUM,FASE_NUM,IAA_FLAG_ZERO,IEG_FLAG_ZERO,IPS_FLAG_ZERO,IDA_FLAG_ZERO,IPV_FLAG_ZERO,IAN_FLAG_ZERO,INDE_OUTLIER,IAN_OUTLIER,IDA_OUTLIER,IEG_OUTLIER,IAA_OUTLIER,IPS_OUTLIER,IPP_OUTLIER,IPV_OUTLIER
RA-18,2022,Aluno-18,7,D,Masculino,19.0,2022,Escola Pública,,,Ametista,7.226,5.0,9.0,8.7,6.3,6.3,,6.875,Fase 8 (Universitários),-1,False,True,9.0,9.0,,418.0,7.0,5.0,4.0,Requer avaliação,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-19,2022,Aluno-19,7,D,Feminino,19.0,2022,Escola Pública,,,Ametista,7.665,5.0,8.0,9.5,7.9,7.5,,7.0,Fase 8 (Universitários),-1,False,True,7.0,9.0,,248.0,4.0,3.0,4.0,Sem limitações,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-20,2022,Aluno-20,7,D,Feminino,19.0,2022,Escola Pública,,,Ametista,7.535,5.0,7.8,10.0,7.1,6.3,,7.167,Fase 8 (Universitários),-1,False,True,9.0,6.5,,296.0,5.0,4.0,4.0,Não atendido,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-21,2022,Aluno-21,7,D,Masculino,18.0,2022,Escola Pública,,,Ágata,6.945,5.0,3.8,9.2,9.6,7.5,,7.25,Fase 8 (Universitários),-1,False,True,7.0,0.5,,508.0,9.0,6.0,4.0,Não atendido,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-22,2022,Aluno-22,6,A,Feminino,17.0,2019,Rede Decisão,,,Ametista,7.474,5.0,6.7,7.4,8.3,8.1,,8.833,Fase 7 (3º EM),-1,True,False,9.0,3.1,7.8,327.0,10.0,10.0,4.0,Sem limitações,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-23,2022,Aluno-23,6,A,Masculino,17.0,2021,Escola Pública,,,Ametista,7.677,5.0,6.7,8.2,8.3,8.1,,8.556,Fase 7 (3º EM),-1,True,True,7.2,4.7,8.2,243.0,8.0,8.0,4.0,Sem limitações,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-24,2022,Aluno-24,6,A,Feminino,17.0,2021,Rede Decisão,,,Topázio,8.087,5.0,8.6,7.9,9.2,6.9,,9.111,Fase 7 (3º EM),-1,True,False,10.0,6.3,9.7,119.0,5.0,5.0,4.0,Requer avaliação,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-25,2022,Aluno-25,6,A,Feminino,17.0,2021,Escola Pública,,,Ametista,7.979,5.0,6.9,8.3,8.3,8.8,,9.667,Fase 7 (3º EM),-1,True,True,9.2,3.8,7.7,147.0,6.0,6.0,4.0,Sem limitações,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-26,2022,Aluno-26,6,A,Masculino,17.0,2022,Escola Pública,,,Topázio,8.677,5.0,8.0,8.8,9.6,10.0,,10.0,Fase 7 (3º EM),-1,True,True,9.5,4.4,10.0,17.0,3.0,3.0,4.0,Sem limitações,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,6.0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
RA-27,2022,Aluno-27,6,A,Masculino,17.0,2016,Rede Decisão,,,Ametista,7.124,5.0,8.0,7.6,0.0,8.1,,9.111,Fase 7 (3º EM),-1,True,False,7.7,6.3,10.0,449.0,12.0,12.0,4.0,Sem limitações,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,6.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False
RA-28,2022,Aluno-28,6,A,Feminino,17.0,2019,Escola Pública,,,Ágata,6.242,5.0,5.0,6.1,7.9,7.5,,6.333,Fase 7 (3º EM),-1,False,False,8.2,1.5,5.3,698.0,14.0,14.0,4.0,Requer avaliação,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-29,2022,Aluno-29,6,A,Masculino,17.0,2022,Escola Pública,,,Quartzo,4.985,5.0,3.7,4.0,0.0,8.8,,7.611,Fase 7 (3º EM),-1,False,True,6.3,1.1,3.8,821.0,16.0,16.0,4.0,Requer avaliação,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,6.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False
RA-30,2022,Aluno-30,6,A,Feminino,16.0,2021,Escola Pública,,,Ametista,7.605,10.0,7.5,6.4,8.8,7.5,,7.333,Fase 6 (2º EM),0,False,False,8.5,4.4,9.7,270.0,9.0,9.0,4.0,Sem limitações,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-31,2022,Aluno-31,6,A,Feminino,17.0,2019,Rede Decisão,,,Topázio,8.843,5.0,8.0,9.5,10.0,9.4,,10.0,Fase 7 (3º EM),-1,True,False,9.0,5.7,9.3,9.0,2.0,2.0,4.0,Sem limitações,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,6.0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
RA-32,2022,Aluno-32,6,A,Feminino,16.0,2018,Rede Decisão,,,Ametista,7.37,10.0,6.1,5.2,8.8,8.8,,7.944,Fase 6 (2º EM),0,False,False,5.7,3.6,8.9,370.0,11.0,11.0,4.0,Sem limitações,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-33,2022,Aluno-33,6,A,Feminino,17.0,2020,Escola Pública,,,Quartzo,4.952,5.0,4.8,4.6,0.0,7.5,,6.0,Fase 7 (3º EM),-1,False,False,9.0,1.6,3.7,824.0,17.0,17.0,4.0,Sem limitações,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,6.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False
RA-34,2022,Aluno-34,6,A,Masculino,17.0,2016,Rede Decisão,,,Ágata,6.259,5.0,3.8,4.8,9.6,8.1,,7.278,Fase 7 (3º EM),-1,False,False,4.7,4.0,2.8,692.0,13.0,13.0,4.0,Sem limitações,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-35,2022,Aluno-35,6,A,Feminino,17.0,2019,Rede Decisão,,,Topázio,8.965,5.0,8.5,9.6,10.0,9.4,,10.0,Fase 7 (3º EM),-1,True,False,9.0,7.1,9.3,5.0,1.0,1.0,4.0,Sem limitações,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,6.0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
RA-36,2022,Aluno-36,6,A,Feminino,17.0,2019,Rede Decisão,,,Ametista,7.876,5.0,6.8,9.0,9.2,6.9,,8.944,Fase 7 (3º EM),-1,True,False,8.5,4.3,7.8,177.0,7.0,7.0,4.0,Sem limitações,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-37,2022,Aluno-37,6,A,Feminino,17.0,2019,Rede Decisão,,,Quartzo,4.95,5.0,5.9,5.4,0.0,5.0,,5.222,Fase 7 (3º EM),-1,False,False,2.3,5.3,10.0,825.0,18.0,18.0,4.0,Sem limitações,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,6.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False
RA-38,2022,Aluno-38,6,A,Feminino,17.0,2017,Rede Decisão,,,Topázio,8.523,5.0,8.6,8.9,9.2,7.5,,9.833,Fase 7 (3º EM),-1,True,False,9.0,7.0,9.7,31.0,4.0,4.0,4.0,Não indicado,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
RA-39,2022,Aluno-39,6,A,Feminino,16.0,2017,Rede Decisão,,,Ágata,6.033,10.0,6.9,4.8,0.0,6.9,,6.111,Fase 6 (2º EM),0,False,False,7.7,5.1,7.8,722.0,15.0,15.0,4.0,Requer avaliação,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.0,6.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False
RA-40,2022,Aluno-40,5,A,Feminino,16.0,2016,Rede Decisão,,,Ametista,7.203,5.0,6.8,7.8,7.9,7.5,,7.75,Fase 6 (2º EM),-1,False,False,4.7,7.3,8.4,429.0,27.0,3.0,3.0,Sem limitações,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-41,2022,Aluno-41,5,A,Masculino,17.0,2018,Escola Pública,,,Quartzo,5.581,5.0,5.6,6.1,9.2,5.0,,4.375,Fase 7 (3º EM),-2,False,False,6.3,2.5,8.0,777.0,51.0,9.0,3.0,Requer avaliação,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
RA-42,2022,Aluno-42,5,A,Masculino,15.0,2019,Rede Decisão,,,Ágata,6.72,10.0,4.8,7.9,8.3,5.6,,6.083,Fase 5 (1º EM),0,False,False,3.7,4.5,6.2,582.0,33.0,5.0,3.0,Requer avaliação,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-43,2022,Aluno-43,5,A,Feminino,16.0,2019,Escola Pública,,,Quartzo,5.486,5.0,4.3,6.5,6.3,5.6,,5.958,Fase 6 (2º EM),-1,False,False,4.0,5.8,3.2,791.0,54.0,11.0,3.0,Requer avaliação,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-44,2022,Aluno-44,5,A,Feminino,17.0,2021,Escola Pública,,,Quartzo,5.542,5.0,3.0,5.9,5.0,7.5,,7.292,Fase 7 (3º EM),-2,False,True,2.3,3.5,3.2,785.0,52.0,10.0,3.0,Sem limitações,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,5.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False
RA-45,2022,Aluno-45,5,A,Feminino,15.0,2019,Rede Decisão,,,Ametista,7.591,10.0,6.8,8.9,7.9,5.6,,7.417,Fase 5 (1º EM),0,False,False,6.3,5.2,8.8,277.0,17.0,2.0,3.0,Requer avaliação,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-46,2022,Aluno-46,5,A,Feminino,17.0,2022,Escola Pública,,,Ágata,6.048,5.0,2.1,8.4,8.8,6.3,,7.083,Fase 7 (3º EM),-2,False,False,2.8,2.8,0.7,719.0,46.0,7.0,3.0,Sem limitações,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-47,2022,Aluno-47,5,A,Feminino,17.0,2022,Escola Pública,,,Quartzo,5.677,5.0,2.1,6.3,7.9,7.5,,7.042,Fase 7 (3º EM),-2,False,False,2.5,2.2,1.5,762.0,49.0,8.0,3.0,Sem limitações,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-48,2022,Aluno-48,5,A,Feminino,15.0,2017,Rede Decisão,,,Ametista,8.006,10.0,8.1,8.4,6.7,7.5,,8.5,Fase 5 (1º EM),0,True,False,6.7,8.0,9.5,140.0,10.0,1.0,3.0,Sem limitações,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-49,2022,Aluno-49,5,A,Feminino,17.0,2022,Escola Pública,,,Ágata,6.304,5.0,3.9,7.4,7.5,7.5,,7.042,Fase 7 (3º EM),-2,False,False,1.5,4.2,6.2,687.0,42.0,6.0,3.0,Sem limitações,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-50,2022,Aluno-50,5,A,Feminino,18.0,2022,Escola Pública,,,Ametista,7.138,2.5,7.8,8.4,7.5,7.5,,7.542,Fase 8 (Universitários),-3,False,False,6.5,7.3,9.7,445.0,28.0,4.0,3.0,Sem limitações,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-51,2022,Aluno-51,5,B,Feminino,17.0,2022,Escola Pública,,,Ágata,6.488,5.0,5.0,7.6,8.8,7.5,,6.5,Fase 7 (3º EM),-2,False,False,4.5,4.5,6.0,645.0,39.0,13.0,3.0,Não atendido,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-52,2022,Aluno-52,5,B,Masculino,13.0,2018,Rede Decisão,,,Ametista,7.861,10.0,6.2,8.9,9.6,7.5,,7.5,Fase 3 (7º e 8º ano),2,False,False,3.3,6.3,8.8,183.0,12.0,5.0,3.0,Não atendido,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,3.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-53,2022,Aluno-53,5,B,Masculino,17.0,2022,Escola Pública,,,Ágata,6.725,5.0,7.0,7.0,9.2,7.5,,6.458,Fase 7 (3º EM),-2,False,False,6.0,8.0,,579.0,32.0,11.0,3.0,Não atendido,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-54,2022,Aluno-54,5,B,Feminino,16.0,2022,Escola Pública,,,Ágata,6.058,5.0,4.8,6.9,7.9,7.5,,6.125,Fase 6 (2º EM),-1,False,False,3.0,6.5,,716.0,45.0,14.0,3.0,Não atendido,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
