RA,NOME,GENERO,ANO_INGRESSO,CF_2022,CG_2022,CT_2022,DEFASAGEM_2022,DEFASAGEM_2023,DEFASAGEM_2024,DESTAQUE_IDA_2022,DESTAQUE_IEG_2022,DESTAQUE_IPV_2022,ESCOLA_2024,FASE_2022,FASE_2023,FASE_2024,FASE_IDEAL_2022,FASE_IDEAL_2023,FASE_IDEAL_2024,IAA_2022,IAA_2023,IAA_2024,IAN_2022,IAN_2023,IAN_2024,IDA_2022,IDA_2023,IDA_2024,IDADE_2022,IDADE_2023,IDADE_2024,IEG_2022,IEG_2023,IEG_2024,INDE_2022,INDE_2023,INDE_2024,INDICADO_BOLSA_2022,INSTITUICAO_ENSINO_2022,INSTITUICAO_ENSINO_2023,INSTITUICAO_ENSINO_2024,IPP_2023,IPP_2024,IPS_2022,IPS_2023,IPS_2024,IPV_2022,IPV_2023,IPV_2024,NOTA_ING_2022,NOTA_ING_2023,NOTA_ING_2024,NOTA_MAT_2022,NOTA_MAT_2023,NOTA_MAT_2024,NOTA_PORT_2022,NOTA_PORT_2023,NOTA_PORT_2024,PEDRA_2022,PEDRA_2023,PEDRA_2024,PONTO_VIRADA_2022,QTDE_AVAL_2022,QTDE_AVAL_2023,QTDE_AVAL_2024,REC_PSICO_2022,STATUS_ATIVO_2024,TURMA_2022,TURMA_2023,TURMA_2024
RA-1006,Aluno-1006,Feminino,2023,,,,,0.0,-1.0,,,,EM Pedro Antonio de Almeida,,ALFA,ALFA,,ALFA (1° e 2° ano),Fase 1 (3° e 4° ano),,9.0,8.502,,10.0,5.0,,8.7,5.0,,8.0,9.0,,9.3,8.4444444445,,8.5922,7.040088888900001,,,Pública,Pública,7.5,7.5,,7.52,7.51,,8.0,7.5,,,,,8.7,5.0,,8.6,5.0,,Topázio,Ametista,,,2.0,2.0,,Cursando,,ALFA V - G0/G1,ALFA J - G2/G3
RA-1007,Aluno-1007,Masculino,2023,,,,,0.0,,,,,,,ALFA,,,ALFA (1° e 2° ano),,,9.0,,,10.0,,,8.3,,,,,,7.4,,,8.0782,,,,Pública,,7.5,,,7.52,,,7.68,,,,,,8.1,,,8.5,,,Topázio,,,,2.0,,,,,ALFA V - G0/G1,
RA-1008,Aluno-1008,Masculino,2023,,,,,0.0,-1.0,,,,EE Joaquim Mendes Feliz,,ALFA,ALFA,,ALFA (1° e 2° ano),Fase 1 (3° e 4° ano),,9.0,7.002,,10.0,5.0,,8.4,7.0,,8.0,9.0,,8.6,6.483957219,,8.13595,6.8667414438000005,,,Pública,Pública,5.9375,7.1875,,7.52,7.51,,7.5,7.5,,,,,7.5,6.5,,9.2,7.5,,Topázio,Ágata,,,2.0,2.0,,Cursando,,ALFA V - G0/G1,ALFA I - G2/G3
RA-1009,Aluno-1009,Masculino,2023,,,,,0.0,-1.0,,,,EE Dom Pedro Villas Boas de Souza,,ALFA,ALFA,,ALFA (1° e 2° ano),Fase 1 (3° e 4° ano),,0.0,8.002,,10.0,5.0,,8.8,7.5,,8.0,9.0,,9.0,6.8863636365000005,,7.245,6.395389393900001,,,Pública,Pública,7.5,6.5625,,3.77,2.51,,7.84,6.553333333,,,,,8.3,10.0,,9.2,5.0,,Ametista,Ágata,,,2.0,3.0,,Cursando,,ALFA Y - G0/G1,ALFA E - G2/G3
RA-101,Aluno-101,Feminino,2021,31.0,387.0,8.0,-1.0,,,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,4,,,Fase 5 (1º EM),,,7.9,,,5.0,,,7.6,,,15.0,,,8.3,,,7.305,,,True,Escola Pública,,,,,7.5,,,6.833,,,9.2,,,7.2,,,6.5,,,Ametista,,,False,4.0,,,Não atendido,,A,,
RA-1010,Aluno-1010,Masculino,2023,,,,,0.0,,,,,,,ALFA,,,ALFA (1° e 2° ano),,,9.5,,,10.0,,,9.4,,,8.0,,,10.0,,,8.70645,,,,Pública,,7.8125,,,3.77,,,8.59,,,,,,9.0,,,9.8,,,Topázio,,,,2.0,,,,,ALFA Y - G0/G1,
RA-1011,Aluno-1011,Masculino,2023,,,,,0.0,,,,,,,ALFA,,,ALFA (1° e 2° ano),,,9.5,,,10.0,,,5.2,,,,,,8.6,,,7.33095,,,,Pública,,7.1875,,,3.77,,,7.675,,,,,,5.5,,,4.8,,,Ametista,,,,2.0,,,,,ALFA Y - G0/G1,
RA-1012,Aluno-1012,Feminino,2023,,,,,0.0,-1.0,,,,EE Joaquim Mendes Feliz,,ALFA,ALFA,,ALFA (1° e 2° ano),Fase 1 (3° e 4° ano),,10.0,9.502,,10.0,5.0,,6.6,9.75,,8.0,9.0,,9.9,9.523809524,,7.96495,8.057128571400002,,,Pública,Pública,7.1875,8.125,,3.77,2.51,,7.845,8.443333333,,,,,7.0,10.0,,6.2,9.5,,Ametista,Topázio,,,2.0,3.0,,Cursando,,ALFA Y - G0/G1,ALFA C - G0/G1
RA-1013,Aluno-1013,Masculino,2023,,,,,0.0,-1.0,,,,EE Dom Pedro Villas Boas de Souza,,ALFA,ALFA,,ALFA (1° e 2° ano),Fase 1 (3° e 4° ano),,9.0,9.002,,10.0,5.0,,8.3,7.75,,7.0,8.0,,9.6,5.6937799039999994,,7.6237,5.7839559808,,,Pública,Pública,5.625,5.0,,4.39,2.51,,5.76,4.72,,,,,7.0,8.0,,9.5,7.5,,Ametista,Quartzo,,,2.0,3.0,,Cursando,,ALFA Y - G0/G1,ALFA E - G2/G3
RA-1014,Aluno-1014,Feminino,2023,,,,,0.0,-1.0,,,,EE Dom Pedro Villas Boas de Souza,,ALFA,ALFA,,ALFA (1° e 2° ano),Fase 1 (3° e 4° ano),,9.0,8.502,,10.0,5.0,,8.2,5.25,,,8.0,,9.7,7.8863636365000005,,8.2582,6.315972727300001,,,Pública,Pública,7.5,6.875,,3.77,2.51,,8.255,7.0,,,,,7.7,6.5,,8.7,4.0,,Topázio,Ágata,,,2.0,3.0,,Cursando,,ALFA Y - G0/G1,ALFA E - G2/G3
RA-1015,Aluno-1015,Feminino,2023,,,,,-1.0,0.0,,,,EE Alexandre Rodrigues Nogueira,,FASE 1,2B,,Fase 2 (5° e 6° ano),Fase 2 (5° e 6° ano),,10.0,7.918,,5.0,10.0,,6.3,4.0,,10.0,11.0,,9.3,7.8214285715,,7.538908333,6.643252381000002,,,Pública,Pública,7.34375,6.041666667,,6.27,7.51,,7.786666667,5.66,,,,,5.0,2.0,,7.6,6.0,,Ametista,Ágata,,,3.0,3.0,,Cursando,,1A,2B
RA-1016,Aluno-1016,Feminino,2023,,,,,-1.0,,,,,,,FASE 1,,,Fase 2 (5° e 6° ano),,,10.0,,,5.0,,,6.7,,,10.0,,,9.5,,,7.762575,,,,Pública,,7.34375,,,7.52,,,7.73,,,,,,5.8,,,7.5,,,Ametista,,,,3.0,,,,,1A,
RA-1017,Aluno-1017,Masculino,2023,,,,,-1.0,0.0,,,,EE João Ortiz Rodrigues,,FASE 1,2C,,Fase 2 (5° e 6° ano),Fase 2 (5° e 6° ano),,0.0,9.502,,5.0,10.0,,7.7,5.0,,,12.0,,8.0,7.8095238095,,6.505333333,7.345521428500001,,,Pública,Pública,7.5,7.1875,,5.02,6.26,,8.116666667,7.443333333,,,,,7.0,2.5,,8.3,7.5,,Ágata,Ametista,,,3.0,3.0,,Cursando,,1A,2C
RA-1018,Aluno-1018,Masculino,2023,,,,,0.0,-1.0,,,,EE Dom Pedro Villas Boas de Souza,,FASE 1,1A,,Fase 1 (3° e 4° ano),Fase 2 (5° e 6° ano),,0.0,8.502,,10.0,5.0,,6.3,8.25,,,10.0,,8.5,7.727272727,,6.824,7.7054045454,,,Pública,Pública,7.5,8.4375,,5.02,6.26,,8.06,8.45,,,,,5.8,8.5,,6.8,8.0,,Ágata,Ametista,,,3.0,3.0,,Cursando,,1A,1A
RA-1019,Aluno-1019,Feminino,2023,,,,,1.0,0.0,,,,EM Etelvina Delfim Simões,,FASE 1,1A,,ALFA (1° e 2° ano),Fase 1 (3° e 4° ano),,7.5,9.502,,10.0,10.0,,4.3,8.75,,8.0,9.0,,9.1,9.3073593075,,7.177033333,8.692255194900001,,,Pública,Pública,6.875,7.8125,,5.02,6.26,,7.836666667,8.616666667,,,,,0.5,9.5,,8.0,8.0,,Ametista,Topázio,,,3.0,3.0,,Cursando,,1A,1A
RA-102,Aluno-102,Masculino,2019,43.0,519.0,9.0,0.0,,,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,4,,,Fase 4 (9º ano),,,6.7,,,10.0,,,5.7,,,14.0,,,7.7,,,6.922,,,False,Escola Pública,,,,,6.9,,,6.0,,,5.5,,,4.7,,,6.8,,,Ágata,,,False,4.0,,,Requer avaliação,,A,,
RA-1020,Aluno-1020,Feminino,2023,,,,,0.0,0.0,,,,EE Dom Pedro Villas Boas de Souza,,FASE 1,1A,,Fase 1 (3° e 4° ano),Fase 1 (3° e 4° ano),,10.0,9.002,,10.0,10.0,,6.1,9.0,,9.0,10.0,,9.1,9.7727272725,,7.612283333,8.9544954545,,,Pública,Pública,7.1875,8.4375,,2.52,6.88,,8.056666667,8.84,,,,,4.3,10.0,,7.8,8.0,,Ametista,Topázio,,,3.0,3.0,,Cursando,,1A,1A
RA-1021,Aluno-1021,Masculino,2023,,,,,0.0,-1.0,,,,EE Dom Pedro Villas Boas de Souza,,FASE 1,1A,,Fase 1 (3° e 4° ano),Fase 2 (5° e 6° ano),,8.0,9.502,,10.0,5.0,,3.3,8.0,,,10.0,,9.2,9.318181818,,6.964616667,8.0985863636,,,Pública,Pública,7.1875,8.4375,,3.77,7.51,,7.893333333,7.95,,,,,2.5,9.0,,4.0,7.0,,Ágata,Topázio,,,3.0,3.0,,Cursando,,1A,1A
RA-1022,Aluno-1022,Masculino,2023,,,,,0.0,-1.0,,,,EE Dom Pedro Villas Boas de Souza,,FASE 1,1A,,Fase 1 (3° e 4° ano),Fase 2 (5° e 6° ano),,8.5,9.502,,10.0,5.0,,4.7,6.5,,9.0,10.0,,8.5,9.318181818,,7.164616667,7.613169697000002,,,Pública,Pública,7.1875,7.5,,3.77,6.26,,7.893333333,8.116666667,,,,,4.7,5.5,,4.7,7.5,,Ametista,Ametista,,,3.0,3.0,,Cursando,,1A,1A
RA-1023,Aluno-1023,Feminino,2023,,,,,0.0,0.0,,,,EE Dom Pedro Villas Boas de Souza,,FASE 1,2B,,Fase 1 (3° e 4° ano),Fase 2 (5° e 6° ano),,10.0,9.502,,10.0,10.0,,9.1,9.5,,,10.0,,10.0,9.511904762,,9.1342,9.498580952300001,,,Pública,Pública,8.75,8.958333333,,6.27,9.375,,9.06,9.563333333,,,,,8.5,9.0,,9.7,10.0,,Topázio,Topázio,,,3.0,3.0,,Cursando,,1A,2B
RA-1024,Aluno-1024,Feminino,2023,,,,,-1.0,-1.0,,,,Escola João Paulo II,,FASE 1,1B,,Fase 2 (5° e 6° ano),Fase 2 (5° e 6° ano),,0.0,8.002,,5.0,5.0,,9.8,10.0,,10.0,11.0,,10.0,10.0,,7.788875,8.6516166666,,,Pública,Pública,9.21875,8.4375,,6.27,7.51,,8.95,8.783333333,,,,,10.0,10.0,,9.5,10.0,,Ametista,Topázio,,,3.0,3.0,,Cursando,,1B,1B
RA-1025,Aluno-1025,Masculino,2023,,,,,0.0,-1.0,,,,EE Dom Pedro Villas Boas de Souza,,FASE 1,1A,,Fase 1 (3° e 4° ano),Fase 2 (5° e 6° ano),,8.5,9.002,,10.0,5.0,,7.5,9.0,,9.0,10.0,,8.9,7.727272727,,8.215158333,7.897071212,,,Pública,Pública,7.65625,8.4375,,7.52,7.51,,7.836666667,7.783333333,,,,,7.5,10.0,,7.5,8.0,,Topázio,Ametista,,,3.0,3.0,,Cursando,,1B,1A
RA-1026,Aluno-1026,Feminino,2023,,,,,-3.0,,,,,,,FASE 1,,,Fase 4 (9° ano),,,8.5,,,2.5,,,3.2,,,,,,9.8,,,6.494825,,,,Pública,,6.40625,,,7.52,,,7.06,,,,,,2.3,,,4.0,,,Ágata,,,,3.0,,,,,1B,
RA-1027,Aluno-1027,Feminino,2023,,,,,-1.0,0.0,,,,EE Bairro Boa Vista,,FASE 1,2B,,Fase 2 (5° e 6° ano),Fase 2 (5° e 6° ano),,9.5,9.502,,5.0,10.0,,6.0,5.25,,10.0,11.0,,9.7,10.0,,7.748866667,8.220866666700001,,,Pública,Pública,7.5,7.916666667,,7.52,7.51,,8.333333333,8.39,,,,,4.2,6.0,,7.7,4.5,,Ametista,Topázio,,,3.0,3.0,,Cursando,,1B,2B
RA-1028,Aluno-1028,Masculino,2023,,,,,-1.0,-2.0,,,,EE Olivia de Faria Nogueira,,FASE 1,1B,,Fase 2 (5° e 6° ano),Fase 3 (7° e 8° ano),,0.0,8.002,,5.0,5.0,,5.0,7.5,,11.0,12.0,,9.2,7.055335968,,6.415708333,7.1404338602,,,Pública,Pública,7.34375,6.875,,7.52,5.63,,7.946666667,8.393333333,,,,,5.0,6.0,,5.0,9.0,,Ágata,Ametista,,,3.0,3.0,,Cursando,,1B,1B
RA-1029,Aluno-1029,Feminino,2023,,,,,0.0,-1.0,,,,EE Dom Pedro Villas Boas de Souza,,FASE 1,1C,,Fase 1 (3° e 4° ano),Fase 2 (5° e 6° ano),,10.0,9.002,,10.0,5.0,,5.4,8.75,,9.0,10.0,,6.3,8.7954545455,,7.058533333,7.797790909100001,,,Pública,Pública,7.5,7.5,,3.77,6.885,,8.006666667,7.25,,,,,3.5,8.0,,7.2,9.5,,Ametista,Ametista,,,3.0,2.0,,Cursando,,1C,1C
RA-103,Aluno-103,Feminino,2020,11.0,114.0,4.0,1.0,1.0,,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,4,FASE 5,,Fase 3 (7º e 8º ano),Fase 4 (9° ano),,7.9,8.3,,10.0,10.0,,7.3,7.1,,13.0,14.0,,8.7,9.2,,8.107,8.0239,,False,Rede Decisão,Privada - Programa de Apadrinhamento,,8.125,,7.5,5.0,,7.708,8.09,,7.3,7.7,,7.3,7.3,,7.3,6.3,,Topázio,Topázio,,False,4.0,4.0,,Não atendido,,A,5A,
RA-103,Aluno-103,Feminino,2021,,,,,,0.0,,,,Colégio Arco Íris Evolução,,,5A,,,Fase 5 (1° EM),,,8.334,,,10.0,,,9.166666666666666,,,15.0,,,9.603174603333335,,,8.775268254,,,,Privada - Programa de Apadrinhamento,,7.875,,,6.26,,,8.872,,,9.5,,,9.0,,,9.0,,,Topázio,,,,5.0,,Cursando,,,5A
RA-1030,Aluno-1030,Masculino,2023,,,,,-1.0,0.0,,,,EE Paschoal Carlos Magno,,FASE 1,2D,,Fase 2 (5° e 6° ano),Fase 2 (5° e 6° ano),,8.5,7.418,,5.0,10.0,,6.9,8.0,,,12.0,,9.7,8.28320802,,7.4027,7.7401916040000005,,,Pública,Pública,6.875,7.8125,,3.77,4.385,,8.39,7.61,,,,,6.2,10.0,,7.5,6.0,,Ametista,Ametista,,,3.0,3.0,,Cursando,,1C,2D
RA-1031,Aluno-1031,Masculino,2023,,,,,-1.0,-1.0,,,,EE Joaquim Mendes Feliz,,FASE 1,1C,,Fase 2 (5° e 6° ano),Fase 2 (5° e 6° ano),,8.0,9.502,,5.0,5.0,,5.9,6.25,,10.0,11.0,,8.8,8.6363636365,,7.0602,6.8757227273,,,Pública,Pública,6.666666667,5.3125,,7.52,7.51,,7.006666667,5.83,,,,,4.8,5.5,,7.0,7.0,,Ametista,Ágata,,,3.0,2.0,,Cursando,,1D,1C
RA-1032,Aluno-1032,Masculino,2023,,,,,-1.0,-1.0,,,,EE Joaquim Mendes Feliz,,FASE 1,1C,,Fase 2 (5° e 6° ano),Fase 2 (5° e 6° ano),,8.5,8.502,,5.0,5.0,,6.0,8.0,,,11.0,,9.5,9.75,,7.434033333,8.01645,,,Pública,Pública,7.291666667,7.8125,,7.52,7.51,,7.563333333,7.92,,,,,5.7,9.0,,6.2,7.0,,Ametista,Topázio,,,3.0,2.0,,Cursando,,1D,1C
RA-1033,Aluno-1033,Feminino,2023,,,,,-1.0,,,,,,,FASE 1,,,Fase 2 (5° e 6° ano),,,9.0,,,5.0,,,7.9,,,,,,8.9,,,8.126033333,,,,Pública,,8.125,,,7.52,,,9.006666667,,,,,,7.0,,,8.8,,,Topázio,,,,3.0,,,,,1D,
RA-1034,Aluno-1034,Masculino,2023,,,,,-1.0,0.0,,,,EE Alexandre Rodrigues Nogueira,,FASE 1,2B,,Fase 2 (5° e 6° ano),Fase 2 (5° e 6° ano),,7.5,7.502,,5.0,10.0,,8.3,7.5,,10.0,11.0,,9.0,8.0833333335,,7.9642,8.0333666666,,,Pública,Pública,8.333333333,7.708333333,,7.52,7.51,,8.393333333,8.223333333,,,,,7.8,7.5,,8.7,7.5,,Ametista,Topázio,,,3.0,3.0,,Cursando,,1D,2B
RA-1035,Aluno-1035,Masculino,2023,,,,,0.0,-1.0,,,,EE Dom Pedro Villas Boas de Souza,,FASE 1,1C,,Fase 1 (3° e 4° ano),Fase 2 (5° e 6° ano),,0.0,9.502,,10.0,5.0,,5.8,7.0,,9.0,10.0,,8.3,9.0227272725,,6.888833333,7.833495454500001,,,Pública,Pública,7.708333333,8.4375,,7.52,7.51,,7.78,7.92,,,,,4.0,6.5,,7.5,7.5,,Ágata,Ametista,,,3.0,2.0,,Cursando,,1D,1C
RA-1036,Aluno-1036,Feminino,2023,,,,,-1.0,0.0,,,,EE João Ortiz Rodrigues,,FASE 1,2H,,Fase 2 (5° e 6° ano),Fase 2 (5° e 6° ano),,0.0,10.002,,5.0,10.0,,8.0,7.0,,11.0,12.0,,9.6,9.0890269155,,6.970583333,8.2841303831,,,Pública,Pública,9.0625,7.65625,,3.77,7.51,,8.336666667,7.7475,,,,,9.0,7.0,,7.0,7.0,,Ágata,Topázio,,,3.0,4.0,,Cursando,,1F,2H
RA-1037,Aluno-1037,Masculino,2023,,,,,-1.0,,,,,,,FASE 1,,,Fase 2 (5° e 6° ano),,,9.0,,,5.0,,,6.7,,,10.0,,,8.4,,,7.655575,,,,Pública,,8.59375,,,7.52,,,8.17,,,,,,5.0,,,8.3,,,Ametista,,,,3.0,,,,,1F,
RA-1038,Aluno-1038,Feminino,2023,,,,,-1.0,0.0,,,,EE Dom Pedro Villas Boas de Souza,,FASE 1,2I,,Fase 2 (5° e 6° ano),Fase 2 (5° e 6° ano),,8.0,8.002,,5.0,10.0,,6.5,8.5,,10.0,11.0,,9.3,7.5438596495,,7.736825,7.9646385965,,,Privada,Pública,8.90625,7.5,,7.52,7.51,,8.17,7.273333333,,,,,7.5,10.0,,5.5,7.0,,Ametista,Ametista,,,3.0,3.0,,Cursando,,1F,2I
RA-1039,Aluno-1039,Masculino,2023,,,,,-2.0,-1.0,,,,EE Joaquim Mendes Feliz,,FASE 1,2I,,Fase 3 (7° e 8° ano),Fase 3 (7° e 8° ano),,8.0,8.002,,5.0,5.0,,6.2,7.25,,,13.0,,9.9,9.722222222,,7.686033333,7.549644444400001,,,Pública,Pública,8.125,7.5,,7.52,7.51,,8.056666667,6.77,,,,,6.0,8.0,,6.3,6.5,,Ametista,Ametista,,,3.0,3.0,,Cursando,,1F,2I
RA-104,Aluno-104,Masculino,2022,61.0,681.0,11.0,-4.0,-3.0,,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,4,FASE 5,,Fase 8 (Universitários),Fase 8 (Universitários),,7.9,0.0,,2.5,2.5,,3.7,2.6,,18.0,,,8.7,7.7,,6.315,4.25,,False,Escola Pública,Pública,,5.625,,7.5,2.52,,6.708,5.6275,,0.3,2.3,,4.8,3.7,,5.8,1.8,,Ágata,Quartzo,,False,4.0,4.0,,Não atendido,,A,5F,
RA-1040,Aluno-1040,Masculino,2023,,,,,-1.0,-1.0,,,,EE Joaquim Mendes Feliz,,FASE 1,2I,,Fase 2 (5° e 6° ano),Fase 3 (7° e 8° ano),,10.0,9.502,,5.0,5.0,,6.6,8.25,,,12.0,,9.3,8.5416666665,,7.81545,7.764199999900001,,,Pública,Pública,7.8125,7.5,,7.52,7.51,,8.06,7.273333333,,,,,5.8,8.0,,7.3,8.5,,Ametista,Ametista,,,3.0,3.0,,Cursando,,1F,2I
RA-1041,Aluno-1041,Feminino,2023,,,,,-1.0,,,,,,,FASE 1,,,Fase 2 (5° e 6° ano),,,10.0,,,5.0,,,3.3,,,10.0,,,7.2,,,6.724116667,,,,Pública,,7.8125,,,7.52,,,8.003333333,,,,,,1.8,,,4.7,,,Ágata,,,,3.0,,,,,1F,
RA-1042,Aluno-1042,Masculino,2023,,,,,-1.0,,,,,,,FASE 1,,,Fase 2 (5° e 6° ano),,,0.0,,,5.0,,,4.3,,,,,,6.5,,,5.331166667,,,,Pública,,7.708333333,,,3.77,,,7.666666667,,,,,,4.0,,,4.5,,,Quartzo,,,,3.0,,,,,1G,
